Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 14 YEARS - 49 YEARS",,,,,,,,,,,
LBXHE1  ,"Herpes Simplex Virus Type 1","Herpes Simplex Virus Type 1",," Both males and females 14 YEARS - 49 YEARS",,,,,,,,,,,
LBXHE2  ,"Herpes Simplex Virus Type 2","Herpes Simplex Virus Type 2",," Both males and females 18 YEARS - 49 YEARS",,,,,,,,,,,
