Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 2 YEARS - 150 YEARS",,,,,,,,,,,
LBXHA   ,"Hepatitis A antibody","Hepatitis A antibody",," Both males and females 2 YEARS - 150 YEARS",,,,,,,,,,,
