Column,Variable,Label
LBDVECLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVECLC,.,"Missing"
LBXVFN,0.0177 to 0.373,"Range of Values"
LBXVFN,.,"Missing"
LBDVFNLC,0,"At or above detection limit"
LBDVFNLC,1,"Below lower detection limit"
LBDVFNLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVFNLC,.,"Missing"
LBXVIPB,0.0283 to 0.172,"Range of Values"
LBXVIPB,.,"Missing"
LBDVIPLC,0,"At or above detection limit"
LBDVIPLC,1,"Below lower detection limit"
LBDVIPLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVIPLC,.,"Missing"
LBXVMC,0.1768 to 17.5,"Range of Values"
LBXVMC,.,"Missing"
LBDVMCLC,0,"At or above detection limit"
LBDVMCLC,1,"Below lower detection limit"
LBDVMCLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVMCLC,.,"Missing"
LBXVME,0.0071 to 0.123,"Range of Values"
LBXVME,.,"Missing"
LBDVMELC,0,"At or above detection limit"
LBDVMELC,1,"Below lower detection limit"
LBDVMELC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVMELC,.,"Missing"
LBXVMCP,0.0141 to 15.8,"Range of Values"
LBXVMCP,.,"Missing"
LBDVMPLC,0,"At or above detection limit"
LBDVMPLC,1,"Below lower detection limit"
LBDVMPLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVMPLC,.,"Missing"
LBXVNB,0.2263 to 0.2263,"Range of Values"
LBXVNB,.,"Missing"
LBDVNBLC,0,"At or above detection limit"
LBDVNBLC,1,"Below lower detection limit"
LBDVNBLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVNBLC,.,"Missing"
LBXVOX,0.017 to 5.63,"Range of Values"
LBXVOX,.,"Missing"
LBDVOXLC,0,"At or above detection limit"
LBDVOXLC,1,"Below lower detection limit"
LBDVOXLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVOXLC,.,"Missing"
LBXVTC,0.0085 to 5.05,"Range of Values"
LBXVTC,.,"Missing"
LBDVTCLC,0,"At or above detection limit"
LBDVTCLC,1,"Below lower detection limit"
LBDVTCLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVTCLC,.,"Missing"
LBXVTE,0.0071 to 0.085,"Range of Values"
LBXVTE,.,"Missing"
LBDVTELC,0,"At or above detection limit"
LBDVTELC,1,"Below lower detection limit"
LBDVTELC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVTELC,.,"Missing"
LBXVTFT,0.0283 to 0.0283,"Range of Values"
LBXVTFT,.,"Missing"
LBDVFTLC,0,"At or above detection limit"
LBDVFTLC,1,"Below lower detection limit"
LBDVFTLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVFTLC,.,"Missing"
LBXVTHF,0.0884 to 41.1,"Range of Values"
LBXVTHF,.,"Missing"
LBDVHTLC,0,"At or above detection limit"
LBDVHTLC,1,"Below lower detection limit"
LBDVHTLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVHTLC,.,"Missing"
LBXVTO,0.0177 to 14.7,"Range of Values"
LBXVTO,.,"Missing"
LBDVTOLC,0,"At or above detection limit"
LBDVTOLC,1,"Below lower detection limit"
LBDVTOLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVTOLC,.,"Missing"
LBXVTP,0.0283 to 0.053,"Range of Values"
LBXVTP,.,"Missing"
LBDVTPLC,0,"At or above detection limit"
LBDVTPLC,1,"Below lower detection limit"
LBDVTPLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVTPLC,.,"Missing"
LBXVVB,0.0318 to 0.0318,"Range of Values"
LBXVVB,.,"Missing"
LBDVVBLC,0,"At or above detection limit"
LBDVVBLC,1,"Below lower detection limit"
LBDVVBLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVVBLC,.,"Missing"
LBXVXY,0.024 to 23.8,"Range of Values"
LBXVXY,.,"Missing"
LBDVXYLC,0,"At or above detection limit"
LBDVXYLC,1,"Below lower detection limit"
LBDVXYLC,2,"Detectable result and exceeds the calibrated range of assay"
LBDVXYLC,.,"Missing"
VTQ210,1,"Yes"
VTQ210,2,"No"
VTQ210,7,"Refused"
VTQ210,9,"Don't know"
VTQ210,.,"Missing"
VTQ220,1,"Yes"
VTQ220,2,"No"
VTQ220,7,"Refused"
VTQ220,9,"Don't know"
VTQ220,.,"Missing"
VTQ200A,1,"Yes"
VTQ200A,2,"No"
VTQ200A,7,"Refused"
VTQ200A,9,"Don't know"
VTQ200A,.,"Missing"
VTQ231A,1,"Yes"
VTQ231A,2,"No"
VTQ231A,7,"Refused"
VTQ231A,9,"Don't know"
VTQ231A,.,"Missing"
VTQ241A,1,"Yes"
VTQ241A,2,"No"
VTQ241A,7,"Refused"
VTQ241A,9,"Don't know"
VTQ241A,.,"Missing"
VTQ241B,1 to 48,"Range of Values"
VTQ241B,.,"Missing"
VTQ244A,1,"Yes"
VTQ244A,2,"No"
VTQ244A,7,"Refused"
VTQ244A,9,"Don't know"
VTQ244A,.,"Missing"
VTQ244B,1 to 48,"Range of Values"
VTQ244B,.,"Missing"
VTQ265A,1,"Yes"
VTQ265A,2,"No"
VTQ265A,7,"Refused"
VTQ265A,9,"Don't know"
VTQ265A,.,"Missing"
VTQ265B,1 to 48,"Range of Values"
VTQ265B,.,"Missing"
VTQ271A,1,"Yes"
VTQ271A,2,"No"
VTQ271A,7,"Refused"
VTQ271A,9,"Don't know"
VTQ271A,.,"Missing"
VTQ271B,1 to 99,"Range of Values"
VTQ271B,.,"Missing"
VTQ281A,1,"Yes"
