Column,Variable,Label
DR1TLYCO,.,"Missing"
DR1TLZ,0 to 102638,"Range of Values"
DR1TLZ,.,"Missing"
DR1TVB1,0.007 to 10.652,"Range of Values"
DR1TVB1,.,"Missing"
DR1TVB2,0 to 29.455,"Range of Values"
DR1TVB2,.,"Missing"
DR1TNIAC,0.215 to 379.852,"Range of Values"
DR1TNIAC,.,"Missing"
DR1TVB6,0.016 to 48.321,"Range of Values"
DR1TVB6,.,"Missing"
DR1TFOLA,0 to 3172,"Range of Values"
DR1TFOLA,.,"Missing"
DR1TFA,0 to 2828,"Range of Values"
DR1TFA,.,"Missing"
DR1TFF,0 to 2357,"Range of Values"
DR1TFF,.,"Missing"
DR1TFDFE,0 to 5151,"Range of Values"
DR1TFDFE,.,"Missing"
DR1TCHL,0 to 2909.1,"Range of Values"
DR1TCHL,.,"Missing"
DR1TVB12,0 to 110.39,"Range of Values"
DR1TVB12,.,"Missing"
DR1TB12A,0 to 89.23,"Range of Values"
DR1TB12A,.,"Missing"
DR1TVC,0 to 2008,"Range of Values"
DR1TVC,.,"Missing"
DR1TVD,0 to 86.3,"Range of Values"
DR1TVD,.,"Missing"
DR1TVK,0 to 4080.5,"Range of Values"
DR1TVK,.,"Missing"
DR1TCALC,6 to 7337,"Range of Values"
DR1TCALC,.,"Missing"
DR1TPHOS,0 to 11529,"Range of Values"
DR1TPHOS,.,"Missing"
DR1TMAGN,0 to 2725,"Range of Values"
DR1TMAGN,.,"Missing"
DR1TIRON,0.13 to 130.76,"Range of Values"
DR1TIRON,.,"Missing"
DR1TZINC,0.16 to 116.05,"Range of Values"
DR1TZINC,.,"Missing"
DR1TCOPP,0.022 to 20.318,"Range of Values"
DR1TCOPP,.,"Missing"
DR1TSODI,17 to 21399,"Range of Values"
DR1TSODI,.,"Missing"
DR1TPOTA,68 to 15876,"Range of Values"
DR1TPOTA,.,"Missing"
DR1TSELE,0 to 986.5,"Range of Values"
DR1TSELE,.,"Missing"
DR1TCAFF,0 to 2448,"Range of Values"
DR1TCAFF,.,"Missing"
DR1TTHEO,0 to 2038,"Range of Values"
DR1TTHEO,.,"Missing"
DR1TALCO,0 to 591.4,"Range of Values"
DR1TALCO,.,"Missing"
DR1TMOIS,135.95 to 17350.04,"Range of Values"
DR1TMOIS,.,"Missing"
DR1TS040,0 to 5.377,"Range of Values"
DR1TS040,.,"Missing"
DR1TS060,0 to 3.014,"Range of Values"
DR1TS060,.,"Missing"
DR1TS080,0 to 14.886,"Range of Values"
DR1TS080,.,"Missing"
DR1TS100,0 to 10.475,"Range of Values"
DR1TS100,.,"Missing"
DR1TS120,0 to 26.403,"Range of Values"
DR1TS120,.,"Missing"
DR1TS140,0 to 18.757,"Range of Values"
DR1TS140,.,"Missing"
DR1TS160,0 to 91.727,"Range of Values"
DR1TS160,.,"Missing"
DR1TS180,0 to 42.57,"Range of Values"
DR1TS180,.,"Missing"
DR1TM161,0 to 13.915,"Range of Values"
DR1TM161,.,"Missing"
DR1TM181,0 to 204.75,"Range of Values"
DR1TM181,.,"Missing"
DR1TM201,0 to 5.764,"Range of Values"
DR1TM201,.,"Missing"
DR1TM221,0 to 3.618,"Range of Values"
DR1TM221,.,"Missing"
DR1TP182,0 to 170.285,"Range of Values"
DR1TP182,.,"Missing"
DR1TP183,0 to 16.593,"Range of Values"
DR1TP183,.,"Missing"
DR1TP184,0 to 0.635,"Range of Values"
DR1TP184,.,"Missing"
DR1TP204,0 to 2.461,"Range of Values"
DR1TP204,.,"Missing"
DR1TP205,0 to 2.687,"Range of Values"
DR1TP205,.,"Missing"
DR1TP225,0 to 1.073,"Range of Values"
DR1TP225,.,"Missing"
DR1TP226,0 to 4.337,"Range of Values"
DR1TP226,.,"Missing"
DR1_300,1,"Much more than usual"
DR1_300,2,"Usual"
DR1_300,3,"Much less than usual"
DR1_300,7,"Refused"
DR1_300,9,"Don't know"
DR1_300,.,"Missing"
DR1_320Z,0 to 13440,"Range of Values"
DR1_320Z,.,"Missing"
DR1_330Z,0 to 13440,"Range of Values"
DR1_330Z,.,"Missing"
DR1BWATZ,0 to 11310,"Range of Values"
DR1BWATZ,.,"Missing"
DR1TWS,1,"Community supply"
DR1TWS,2,"Well or rain cistern"
DR1TWS,3,"Spring"
DR1TWS,4,"Don't drink tap water"
DR1TWS,91,"Other"
DR1TWS,99,"Don't know"
DR1TWS,.,"Missing"
DRD340,1,"Yes"
DRD340,2,"No"
DRD340,7,"Refused"
DRD340,9,"Don't know"
DRD340,.,"Missing"
DRD350A,1,"Yes"
DRD350A,2,"No"
DRD350A,.,"Missing"
DRD350AQ,1 to 12,"Range of Values"
DRD350AQ,.,"Missing"
DRD350B,1,"Yes"
DRD350B,2,"No"
DRD350B,.,"Missing"
DRD350BQ,1 to 12,"Range of Values"
DRD350BQ,.,"Missing"
DRD350C,1,"Yes"
DRD350C,2,"No"
DRD350C,.,"Missing"
DRD350CQ,1 to 16,"Range of Values"
DRD350CQ,.,"Missing"
DRD350D,1,"Yes"
DRD350D,2,"No"
DRD350D,.,"Missing"
DRD350DQ,1 to 10,"Range of Values"
DRD350DQ,.,"Missing"
DRD350E,1,"Yes"
DRD350E,2,"No"
DRD350E,.,"Missing"
DRD350EQ,1 to 6,"Range of Values"
DRD350EQ,.,"Missing"
DRD350F,1,"Yes"
DRD350F,2,"No"
DRD350F,.,"Missing"
DRD350FQ,1 to 20,"Range of Values"
DRD350FQ,.,"Missing"
DRD350G,1,"Yes"
DRD350G,2,"No"
DRD350G,.,"Missing"
DRD350GQ,1 to 12,"Range of Values"
DRD350GQ,.,"Missing"
DRD350H,1,"Yes"
DRD350H,2,"No"
DRD350H,.,"Missing"
DRD350HQ,1 to 30,"Range of Values"
DRD350HQ,.,"Missing"
DRD350I,1,"Yes"
DRD350I,2,"No"
DRD350I,.,"Missing"
DRD350IQ,1 to 10,"Range of Values"
DRD350IQ,.,"Missing"
DRD350J,1,"Yes"
DRD350J,2,"No"
DRD350J,.,"Missing"
DRD350JQ,1 to 4,"Range of Values"
DRD350JQ,.,"Missing"
DRD350K,1,"Yes"
DRD350K,2,"No"
DRD350K,.,"Missing"
DRD360,1,"Yes"
DRD360,2,"No"
DRD360,7,"Refused"
DRD360,9,"Don't know"
DRD360,.,"Missing"
DRD370A,1,"Yes"
DRD370A,2,"No"
DRD370A,.,"Missing"
DRD370AQ,1 to 15,"Range of Values"
DRD370AQ,.,"Missing"
DRD370B,1,"Yes"
DRD370B,2,"No"
DRD370B,.,"Missing"
DRD370BQ,1 to 25,"Range of Values"
DRD370BQ,.,"Missing"
DRD370C,1,"Yes"
DRD370C,2,"No"
DRD370C,.,"Missing"
DRD370CQ,1 to 14,"Range of Values"
DRD370CQ,.,"Missing"
DRD370D,1,"Yes"
DRD370D,2,"No"
DRD370D,.,"Missing"
DRD370DQ,1 to 15,"Range of Values"
DRD370DQ,.,"Missing"
DRD370E,1,"Yes"
DRD370E,2,"No"
DRD370E,.,"Missing"
DRD370EQ,1 to 15,"Range of Values"
DRD370EQ,.,"Missing"
DRD370F,1,"Yes"
DRD370F,2,"No"
DRD370F,.,"Missing"
DRD370FQ,1 to 21,"Range of Values"
DRD370FQ,.,"Missing"
DRD370G,1,"Yes"
DRD370G,2,"No"
DRD370G,.,"Missing"
DRD370GQ,1 to 12,"Range of Values"
DRD370GQ,.,"Missing"
DRD370H,1,"Yes"
DRD370H,2,"No"
DRD370H,.,"Missing"
DRD370HQ,1 to 14,"Range of Values"
DRD370HQ,.,"Missing"
DRD370I,1,"Yes"
DRD370I,2,"No"
DRD370I,.,"Missing"
DRD370IQ,1 to 5,"Range of Values"
DRD370IQ,.,"Missing"
DRD370J,1,"Yes"
DRD370J,2,"No"
DRD370J,.,"Missing"
DRD370JQ,1 to 3,"Range of Values"
DRD370JQ,.,"Missing"
