Column,Label,Comment,Note,Target,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition
SEQN,"Respondent sequence number","Respondent sequence number",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
LBDHEG  ,"Hepatitis E IgG (anti-HEV)","Hepatitis E IgG (anti-HEV)",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
LBDHEM  ,"Hepatitis E IgM (anti-HEV)","Hepatitis E IgM (anti-HEV)",," Both males and females 6 YEARS - 150 YEARS",,,,,,,,,,,
